Identificatie;Kunstwerken.identificatie;AlfanumeriekeWaarde;NumeriekeWaarde;Standaardafwijking.variatie;Boolean
KW_1;KW_BETSLUIT1;;1000000000;0.1;0
KW_1;KW_BETSLUIT2;;2;0.1;1
KW_1;KW_BETSLUIT3;;280;0;0
KW_1;KW_BETSLUIT4;;3.4;0.05;1
KW_1;KW_BETSLUIT5;;5;0.05;1
KW_1;KW_BETSLUIT6;;5.5;0.1;1
KW_1;KW_BETSLUIT7;;5.2;0.1;1
KW_1;KW_BETSLUIT8;;0.68;0.01;1
KW_1;KW_BETSLUIT9;;0.66;0.15;0
KW_1;KW_BETSLUIT10;;4.3;0.05;1
KW_1;KW_BETSLUIT11;;0.022727;0;0
KW_1;KW_BETSLUIT12;;0.00001;0;0
KW_1;KW_BETSLUIT13;;2;0;1
KW_1;KW_BETSLUIT14;;1;0;1
KW_1;KW_BETSLUIT15;VerdronkenKoker;;     ;
